,Regiões,Bairros,População
0,Zona Portuária,"Caju, Santo Cristo, Saúde, Gamboa",48664
1,Centro,"Aeroporto Santos Dumont, Castelo, Centro, Bairro de Fátima, Lapa, Praça Mauá",41142
2,São Cristóvão,"Benfica, São Cristóvão, Vasco da Gama",84908
3,Paquetá,Ilha de Paquetá,3361
4,Botafogo,"Botafogo, Catete, Cosme Velho, Flamengo, Glória, Humaitá, Laranjeiras, Urca",239729
5,Copacabana,"Copacabana, Leme",161191
6,Lagoa,"Gávea, Ipanema, Jardim Botânico, Lagoa, Leblon, São Conrado, Vidigal",167774
7,Rocinha,Rocinha,69356
8,Rio Comprido,"Catumbi, Cidade Nova, Estácio, Rio Comprido",78975
9,Tijuca,"Alto da Boa Vista, Praça da Bandeira, Tijuca",181810
10,Vila Isabel,"Andaraí, Grajaú, Maracanã, Vila Isabel",189310
11,Santa Teresa,Santa Teresa,40926
12,Ilha do Governador,"lha do Governador: Bancários, Cacuia, Cidade Universitária, Cocotá, Freguesia, Galeão, Guarabu, Jardim Carioca, Jardim Guanabara, Moneró, Pitangueiras, Portuguesa, Praia da Bandeira, Ribeira, Tauá, Zumbi",204610
13,Ramos,"Bonsucesso, Olaria, Ramos",153177
14,Penha,"Brás de Pina, Penha, Penha Circular",144810
15,Inhaúma,"Del Castilho, Engenho da Rainha, Inhaúma, Higienópolis, Maria da Graça, Tomás Coelho",138472
16,Méier,"Abolição, Água Santa, Cachambi, Encantado, Engenho de Dentro, Engenho Novo, Jacaré, Lins de Vasconcelos, Méier, Piedade, Pilares, Riachuelo, Rocha, Sampaio, São Francisco Xavier, Todos os Santos",463639
17,Irajá,"Colégio, Irajá, Vicente de Carvalho, Vila da Penha, Vila Kosmos, Vista Alegre",261442
18,Madureira,"Bento Ribeiro, Campinho, Cascadura, Cavalcante, Engenheiro Leal, Honório Gurgel, Madureira, Marechal Hermes, Oswaldo Cruz, Quintino Bocaiuva, Rocha Miranda, Turiaçu, Vaz Lobo",351470
19,Anchieta,"Anchieta, Guadalupe, Parque Anchieta, Ricardo de Albuquerque",117543
20,Pavuna,"Acari, Barros Filho, Coelho Neto, Costa Barros, Parque Colúmbia, Pavuna",108880
21,Jacarezinho,Jacarezinho,33829
22,Complexo do Alemão,Complexo do Alemão,51715
23,Maré,"Baixa do Sapateiro, Conjunto Pinheiros, Marcílio Dias, Maré, Nova Holanda, Parque União, Praia de Ramos, Roquete Pinto, Rubens Vaz, Timbaú, Vila do João, Vila Esperança, Vila Pinheiro",43909
24,Vigário Geral,"Cordovil, Jardim América, Parada de Lucas, Vigário Geral",125431
25,Jacarepaguá,"Anil, Curicica, Freguesia, Gardênia Azul, Jacarepaguá, Pechincha, Praça Seca, Tanque, Taquara, Vila Valqueire",648056
26,Barra da Tijuca,"Barra da Tijuca, Camorim, Grumari, Itanhangá, Joá, Recreio dos Bandeirantes, Vargem Grande, Vargem Pequena",336493
27,Cidade de Deus,Cidade de Deus,50411
28,Bangu,"Bangu, Gericinó, Padre Miguel, Santíssimo, Senador Camará",443645
29,Campo Grande,"Campo Grande, Cosmos, Inhoaíba, Senador Vasconcelos",591482
30,Santa Cruz,"Paciência, Santa Cruz",385682
31,Guaratiba,"Barra de Guaratiba, Guaratiba, Pedra de Guaratiba, Sepetiba, Ilha de Guaratiba",158867
32,Realengo,"Campo dos Afonsos, Deodoro, Magalhães Bastos, Mallet, Realengo, Sulacap, Vila Militar, Vila Valqueire",339278
