Idade;Pessoas;Faixa1;Faixa2;PEA
0;72828;0;1;0
1;72657;0;1;0
2;71632;0;1;0
3;72365;0;1;0
4;74550;0;1;0
5;77218;0;1;0
6;76536;0;1;0
7;77789;0;1;0
8;78054;0;1;0
9;86162;0;1;0
10;96891;0;1;0
11;92142;0;1;0
12;93045;0;1;0
13;91692;0;1;0
14;92797;4.54E-05;0.999954602;0.002472562
15;94867;0.00033535;0.99966465;0.006692647
16;91949;0.002472623;0.997527377;0.017985541
17;91276;0.01798621;0.98201379;0.04742372
18;92308;0.119202922;0.880797078;0.119196312
19;93750;0.5;0.5;0.268923208
20;100108;0.880797078;0.119202922;0.499958641
21;100552;0.98201379;0.01798621;0.73098472
22;102269;0.997527377;0.002472623;0.880688392
23;99886;0.99966465;0.00033535;0.952430564
24;105892;0.999954602;4.54E-05;0.981833029
25 a 29;551103;1;0;0.993083837
30 a 34;524455;1;0;0.999343751
35 a 39;468531;1;0;0.998340894
40 a 44;439691;1;0;0.995503725
45 a 49;436796;1;0;0.987871565
50 a 54;410129;1;0;0.967704535
55 a 59;349675;1;0;0.916827304
60 a 64;279122;1;0;0.802183889
65 a 69;206203;1;0;0.59868766
70 a 74;170853;1;0;0.354343694
75 a 79;129430;1;0;0.167981615
80 a 84;90230;1;0;0.06913842
85 a 89;43786;1;0;0.026596994
90 a 94;16205;1;0;0.009951802
95 a 99;4259;1;0;0.00368424
100;763;1;0;0.00135852
